Reporting Year,Facility ID,Facility Name,Industry,Chemical ID,Chemical Name,CAS No,Processed,Manufactured,Other Use,Released to Air,Released to Land,Released to Surface Water,Released to Disposal,Released to Recycling
2014,22786,Albion Centre One Hour Cleaners,Dry Cleaning & Laundry Serv. (exc. Coin-Op.),19,Tetrachloroethylene (Perchloroethylene),127-18-4,,,264,63,,,,
2014,593,Alfred Georgi,Plastics Bag Manufacturing,23,Nitrogen Oxides (NOx),11104-93-1,,320,,320,,,,
2014,593,Alfred Georgi,Plastics Bag Manufacturing,24,Particulate Matter 2.5 (PM2.5),,,8,,8,,,,
2014,593,Alfred Georgi,Plastics Bag Manufacturing,25,Volatile Organic Compounds (VOCs) Total,,6730,5,35885,13627,,,,
2014,603,Allied Halo Industries Inc,Other Printing,23,Nitrogen Oxides (NOx),11104-93-1,,326,,326,,,,
2014,603,Allied Halo Industries Inc,Other Printing,25,Volatile Organic Compounds (VOCs) Total,,211536,18,,186379,,,,
2014,22482,Alpha Laboratories Inc,Medical & Diagnostic Laboratories,25,Volatile Organic Compounds (VOCs) Total,,,,2130,19,,,,
2014,24747,Alpha Omega Corporation,Commercial Bakeries & Frozen Product Mfg.,23,Nitrogen Oxides (NOx),11104-93-1,,1602,,1602,,,,
2014,24747,Alpha Omega Corporation,Commercial Bakeries & Frozen Product Mfg.,24,Particulate Matter 2.5 (PM2.5),,,122,,122,,,,
2014,24747,Alpha Omega Corporation,Commercial Bakeries & Frozen Product Mfg.,25,Volatile Organic Compounds (VOCs) Total,,,130390,,130390,,,,
2014,22388,Alpha Profiles Ltd,Unlaminated Plastic Profile Shape Manufacturing,21,Vinyl chloride,75-01-4,,3,,3,,,,
2014,22388,Alpha Profiles Ltd,Unlaminated Plastic Profile Shape Manufacturing,25,Volatile Organic Compounds (VOCs) Total,,,45,,45,,,,
2014,25337,Alpine Specialty Chemicals Ltd,Soap & Cleaning Compound Mfg.,14,Formaldehyde,50-00-0,256,0,0,0,,,,
2014,22088,Alpine Specialty Chemicals Ltd,Soap & Cleaning Compound Mfg.,14,Formaldehyde,50-00-0,256,0,0,0,,,,
2014,25337,Alpine Specialty Chemicals Ltd,Soap & Cleaning Compound Mfg.,25,Volatile Organic Compounds (VOCs) Total,,4718,0,0,0,,,,
2014,22088,Alpine Specialty Chemicals Ltd,Soap & Cleaning Compound Mfg.,25,Volatile Organic Compounds (VOCs) Total,,4718,0,0,0,,,,
2014,25345,AlteRego Corporation,Plastics Bag Manufacturing,24,Particulate Matter 2.5 (PM2.5),,,94,,94,,,,
2014,25345,AlteRego Corporation,Plastics Bag Manufacturing,25,Volatile Organic Compounds (VOCs) Total,,1807,,,1729,,,,
2014,450,Alumicor,All Other Misc. Fabricated Metal Product Mfg.,25,Volatile Organic Compounds (VOCs) Total,,,,222,222,,,,
2014,21950,Amvic Inc,Resin & Synthetic Rubber Mfg.,23,Nitrogen Oxides (NOx),11104-93-1,,1554,,1554,,,,
2014,21950,Amvic Inc,Resin & Synthetic Rubber Mfg.,25,Volatile Organic Compounds (VOCs) Total,,112402,85,,112487,,,,
2014,23339,Annette's Donuts,Commercial Bakeries & Frozen Product Mfg.,23,Nitrogen Oxides (NOx),11104-93-1,,570,,570,,,,
2014,23339,Annette's Donuts,Commercial Bakeries & Frozen Product Mfg.,24,Particulate Matter 2.5 (PM2.5),,,43,,43,,,,
2014,23339,Annette's Donuts,Commercial Bakeries & Frozen Product Mfg.,25,Volatile Organic Compounds (VOCs) Total,,,3459,,3459,,,,
2014,24378,Apollo Health And Beauty Care Inc,Toilet Preparation Mfg.,14,Formaldehyde,50-00-0,3849,1,,1,,,,
2014,24378,Apollo Health And Beauty Care Inc,Toilet Preparation Mfg.,23,Nitrogen Oxides (NOx),11104-93-1,,942,,942,,,,
2014,24378,Apollo Health And Beauty Care Inc,Toilet Preparation Mfg.,25,Volatile Organic Compounds (VOCs) Total,,1309506,52,6371,203936,,,,
2014,332,Apotex 20 Kenhar,Pharmaceutical & Medicine Mfg.,23,Nitrogen Oxides (NOx),11104-93-1,,871,,871,,,,
2014,332,Apotex 20 Kenhar,Pharmaceutical & Medicine Mfg.,24,Particulate Matter 2.5 (PM2.5),,,55,,55,,,,
2014,332,Apotex 20 Kenhar,Pharmaceutical & Medicine Mfg.,25,Volatile Organic Compounds (VOCs) Total,,,50,5674,5724,,,,
2014,420,Apotex 3701 Weston,Pharmaceutical & Medicine Mfg.,23,Nitrogen Oxides (NOx),11104-93-1,,409,,409,,,,
2014,420,Apotex 3701 Weston,Pharmaceutical & Medicine Mfg.,25,Volatile Organic Compounds (VOCs) Total,,,24,1859,33,,,,
2014,23302,Apotex 400 Ormont,Pharmaceutical & Medicine Mfg.,13,Dichloromethane (Methylene chloride),75-09-2,,,318,2,,,,
2014,23302,Apotex 400 Ormont,Pharmaceutical & Medicine Mfg.,23,Nitrogen Oxides (NOx),11104-93-1,,1237,,1237,,,,
2014,23302,Apotex 400 Ormont,Pharmaceutical & Medicine Mfg.,25,Volatile Organic Compounds (VOCs) Total,,,68,4490,197,,,,
2014,419,Apotex 4100 Weston,Pharmaceutical & Medicine Mfg.,23,Nitrogen Oxides (NOx),11104-93-1,,605,,605,,,,
2014,419,Apotex 4100 Weston,Pharmaceutical & Medicine Mfg.,25,Volatile Organic Compounds (VOCs) Total,,,36,61,61,,,,
2014,23309,Apotex 440 Garyray,"R&D in the Physical, Eng. & Life Sciences",13,Dichloromethane (Methylene chloride),75-09-2,,,341,2,,,,
2014,23309,Apotex 440 Garyray,"R&D in the Physical, Eng. & Life Sciences",23,Nitrogen Oxides (NOx),11104-93-1,,485,,485,,,,
2014,23309,Apotex 440 Garyray,"R&D in the Physical, Eng. & Life Sciences",25,Volatile Organic Compounds (VOCs) Total,,,29,1960,39,,,,
2014,315,Apotex Etobicoke,Pharmaceutical & Medicine Mfg.,13,Dichloromethane (Methylene chloride),75-09-2,,,2428,1523,,,,
2014,315,Apotex Etobicoke,Pharmaceutical & Medicine Mfg.,17,Mercury and its compounds,,,,1,0,,,,
2014,315,Apotex Etobicoke,Pharmaceutical & Medicine Mfg.,23,Nitrogen Oxides (NOx),11104-93-1,,12175,,12175,,,,
2014,315,Apotex Etobicoke,Pharmaceutical & Medicine Mfg.,24,Particulate Matter 2.5 (PM2.5),,,769,,769,,,,
2014,315,Apotex Etobicoke,Pharmaceutical & Medicine Mfg.,25,Volatile Organic Compounds (VOCs) Total,,,655,86227,52149,,,,
2014,303,Apotex Inc 150 Signet Manufacturing Site,Pharmaceutical & Medicine Mfg.,7,Chloroform (Trichloromethane),67-66-3,,,229,1,,,,
2014,303,Apotex Inc 150 Signet Manufacturing Site,Pharmaceutical & Medicine Mfg.,13,Dichloromethane (Methylene chloride),75-09-2,,,133,1,,,,
2014,303,Apotex Inc 150 Signet Manufacturing Site,Pharmaceutical & Medicine Mfg.,17,Mercury and its compounds,,,,1,0,,,,
2014,303,Apotex Inc 150 Signet Manufacturing Site,Pharmaceutical & Medicine Mfg.,23,Nitrogen Oxides (NOx),11104-93-1,,9812,,9812,,,,
2014,303,Apotex Inc 150 Signet Manufacturing Site,Pharmaceutical & Medicine Mfg.,24,Particulate Matter 2.5 (PM2.5),,,90,,90,,,,
2014,303,Apotex Inc 150 Signet Manufacturing Site,Pharmaceutical & Medicine Mfg.,25,Volatile Organic Compounds (VOCs) Total,,,523,69248,44098,,,,
2014,321,Apotex Special Products Facility,Pharmaceutical & Medicine Mfg.,23,Nitrogen Oxides (NOx),11104-93-1,,1953,,1953,,,,
2014,321,Apotex Special Products Facility,Pharmaceutical & Medicine Mfg.,25,Volatile Organic Compounds (VOCs) Total,,,101,687,788,,,,
2014,329,Aqua Bond Inc,All Other Misc. Chemical Product Mfg.,8,"Chromium, Hexavalent and its compounds",,81029,,,0,,,,
2014,329,Aqua Bond Inc,All Other Misc. Chemical Product Mfg.,9,"Chromium, Non-Hexavalent and its compounds",,1098,,,0,,,,
2014,329,Aqua Bond Inc,All Other Misc. Chemical Product Mfg.,18,Nickel and its compounds,,39633,,,0,,,,
2014,23209,Aramark Uniform Services Canada Ltd,Linen & Uniform Supply,23,Nitrogen Oxides (NOx),11104-93-1,,45,,45,,,,
2014,23209,Aramark Uniform Services Canada Ltd,Linen & Uniform Supply,24,Particulate Matter 2.5 (PM2.5),,,3,,3,,,,
2014,23209,Aramark Uniform Services Canada Ltd,Linen & Uniform Supply,25,Volatile Organic Compounds (VOCs) Total,,,2,1274,1276,,,,
2014,24341,Ardaven Platers Limited,"Coating, Engraving & Heat Treating Activities",5,Cadmium and its compounds,,18,,,0,,,,
2014,24341,Ardaven Platers Limited,"Coating, Engraving & Heat Treating Activities",8,"Chromium, Hexavalent and its compounds",,128,,,0,,,,
2014,24341,Ardaven Platers Limited,"Coating, Engraving & Heat Treating Activities",18,Nickel and its compounds,,1356,,,,,,,
2014,23384,Arfil Auto Collision,"Automotive Body, Paint & Interior R&M",25,Volatile Organic Compounds (VOCs) Total,,,,180,154,,,,
2014,356,Art Printing Company,Other Printing,25,Volatile Organic Compounds (VOCs) Total,,479,0,1990,2469,,,,
2014,21937,Ashford Cleaners,Dry Cleaning & Laundry Serv. (exc. Coin-Op.),23,Nitrogen Oxides (NOx),11104-93-1,,52,,52,,,,
2014,21937,Ashford Cleaners,Dry Cleaning & Laundry Serv. (exc. Coin-Op.),24,Particulate Matter 2.5 (PM2.5),,,2,,2,,,,
2014,21937,Ashford Cleaners,Dry Cleaning & Laundry Serv. (exc. Coin-Op.),19,Tetrachloroethylene (Perchloroethylene),127-18-4,,,865,436,,,,
2014,21937,Ashford Cleaners,Dry Cleaning & Laundry Serv. (exc. Coin-Op.),25,Volatile Organic Compounds (VOCs) Total,,,6,446,73,,,,
2014,22868,Ashley Wood Turning Ltd,Wood Kitchen Cabinet & Counter Top Mfg.,25,Volatile Organic Compounds (VOCs) Total,,202,,55,257,,,,
2014,412,Astley Gilbert Limited,Other Printing,25,Volatile Organic Compounds (VOCs) Total,,,,3266,2217,,,,
2014,24128,Atlantic Packaging 111 Progress Avenue,Paperboard Mills,23,Nitrogen Oxides (NOx),11104-93-1,,57022,,57022,,,,
2014,24128,Atlantic Packaging 111 Progress Avenue,Paperboard Mills,24,Particulate Matter 2.5 (PM2.5),,,806,,806,,,,
2014,24128,Atlantic Packaging 111 Progress Avenue,Paperboard Mills,25,Volatile Organic Compounds (VOCs) Total,,,2132,5365,7497,,,,
2014,253,Atlantic Packaging 120 Tiffield Road,Other Printing,25,Volatile Organic Compounds (VOCs) Total,,312,9,,321,,,,
2014,257,Atlantic Packaging 350 Midwest Road,Corrugated & Solid Fibre Box Mfg.,23,Nitrogen Oxides (NOx),11104-93-1,,2952,,2952,,,,
2014,257,Atlantic Packaging 350 Midwest Road,Corrugated & Solid Fibre Box Mfg.,24,Particulate Matter 2.5 (PM2.5),,,56,,56,,,,
2014,257,Atlantic Packaging 350 Midwest Road,Corrugated & Solid Fibre Box Mfg.,25,Volatile Organic Compounds (VOCs) Total,,779,162,,941,,,,
2014,255,Atlantic Packaging 80 Progress Avenue,Other Printing,23,Nitrogen Oxides (NOx),11104-93-1,,671,,671,,,,
2014,255,Atlantic Packaging 80 Progress Avenue,Other Printing,25,Volatile Organic Compounds (VOCs) Total,,11460,37,,11497,,,,
2014,534,Atlas Roofing Corporation,Urethane & Miscellaneous Foam Product Mfg.,23,Nitrogen Oxides (NOx),11104-93-1,,1440,,1440,,,,
2014,534,Atlas Roofing Corporation,Urethane & Miscellaneous Foam Product Mfg.,24,Particulate Matter 2.5 (PM2.5),,1204,66,,1270,,,,
2014,534,Atlas Roofing Corporation,Urethane & Miscellaneous Foam Product Mfg.,25,Volatile Organic Compounds (VOCs) Total,,2368248,70,,62832,,,,
2014,23215,Auto King Collison Ltd,General Automotive Repair,25,Volatile Organic Compounds (VOCs) Total,,,,901,805,,,,
2014,24286,Automatic Coating Ltd,"Coating, Engraving & Heat Treating Activities",23,Nitrogen Oxides (NOx),11104-93-1,,941,,941,,,,
2014,24286,Automatic Coating Ltd,"Coating, Engraving & Heat Treating Activities",24,Particulate Matter 2.5 (PM2.5),,,7956,,177,,,,
2014,24286,Automatic Coating Ltd,"Coating, Engraving & Heat Treating Activities",25,Volatile Organic Compounds (VOCs) Total,,,52,5565,1692,,,,
2014,22774,Automobile Kollision Works Corp,General Automotive Repair,24,Particulate Matter 2.5 (PM2.5),,,20,,20,,,,
2014,22774,Automobile Kollision Works Corp,General Automotive Repair,25,Volatile Organic Compounds (VOCs) Total,,12,,0,12,,,,
