Reporting Year,Facility ID,Facility Name,Industry,Chemical ID,Chemical Name,CAS No,Processed,Manufactured,Other Use,Released to Air,Released to Land,Released to Surface Water,Released to Disposal,Released to Recycling
2014,22858,Bridge Ramdewar,Wood Kitchen Cabinet & Counter Top Mfg.,24,Particulate Matter 2.5 (PM2.5),,,360,,360,,,,
2014,22858,Bridge Ramdewar,Wood Kitchen Cabinet & Counter Top Mfg.,25,Volatile Organic Compounds (VOCs) Total,,1604,0,0,1604,,,,
2014,325,Brimac Anodizing 1985 Limited,"Coating, Engraving & Heat Treating Activities",23,Nitrogen Oxides (NOx),11104-93-1,,366,,366,,,,
2014,325,Brimac Anodizing 1985 Limited,"Coating, Engraving & Heat Treating Activities",24,Particulate Matter 2.5 (PM2.5),,,48,,48,,,,
2014,23358,Brimell Group Paint And Collision,"Automotive Body, Paint & Interior R&M",25,Volatile Organic Compounds (VOCs) Total,,,,1303,1200,,,,
2014,22170,Brite Star Cleaners,Dry Cleaning & Laundry Serv. (exc. Coin-Op.),19,Tetrachloroethylene (Perchloroethylene),127-18-4,,,397,114,,,,
2014,22170,Brite Star Cleaners,Dry Cleaning & Laundry Serv. (exc. Coin-Op.),25,Volatile Organic Compounds (VOCs) Total,,,,37,0,,,,
2014,22020,Broadview Cleaners,Dry Cleaning & Laundry Serv. (exc. Coin-Op.),19,Tetrachloroethylene (Perchloroethylene),127-18-4,,,363,102,,,,
2014,25530,Business Cards Tomorrow,Quick Printing,25,Volatile Organic Compounds (VOCs) Total,,119,,316,328,,,,
2014,317,CBM Leaside RM Plant,Ready-Mix Concrete Mfg.,24,Particulate Matter 2.5 (PM2.5),,,79,,79,,,,
2014,318,CBM Portlands RM Plant,Ready-Mix Concrete Mfg.,23,Nitrogen Oxides (NOx),11104-93-1,,1328,,1328,,,,
2014,318,CBM Portlands RM Plant,Ready-Mix Concrete Mfg.,24,Particulate Matter 2.5 (PM2.5),,,93,,93,,,,
2014,319,CBM Scarborough RM Plant,Ready-Mix Concrete Mfg.,23,Nitrogen Oxides (NOx),11104-93-1,,1560,,1560,,,,
2014,319,CBM Scarborough RM Plant,Ready-Mix Concrete Mfg.,24,Particulate Matter 2.5 (PM2.5),,,75,,75,,,,
2014,24741,CBM Weston RM Plant,Ready-Mix Concrete Mfg.,24,Particulate Matter 2.5 (PM2.5),,,100,,100,,,,
2014,463,CCL Label,Other Printing,25,Volatile Organic Compounds (VOCs) Total,,0,,12961,6060,,,,
2014,279,CJ Graphics Inc,Other Printing,25,Volatile Organic Compounds (VOCs) Total,,9737,,,4269,,,,
2014,23504,CK Collision Centres,"Automotive Body, Paint & Interior R&M",25,Volatile Organic Compounds (VOCs) Total,,,,539,479,,,,
2014,22902,CKF Inc,Polystyrene Foam Product Mfg.,25,Volatile Organic Compounds (VOCs) Total,,373710,,,85953,,,,
